inst_instid,indic_indicid,area_areaid,value,value_normalized,date_from,date_until,date_published,date_updated,is_forecast
OECD,GDPV_CAP,IND,138319.229130261,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CTGSVD,ISL,0.001214542130095,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPGXA,EST,15996569404.1766,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PXCX,COL,1.54676904352707,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,FBGSD,GBR,-24468046556.457,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,SAVG,LTU,134241641.412735,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GNINTP,NLD,6724562629.78875,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,NLGXQU,SWE,0.656566737070115,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,XGSVD,AUT,275384899864.953,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPEPG,USA,1592720820280.0,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,POP,BEL,11842419.433693,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,FBGSD,USA,-907212291759.708,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,TOCR,SVK,5319647529.68289,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,POP1574,NOR,4131111.42273668,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PMNW,KOR,2.11142763133184,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GGINTP,LVA,408235102.034023,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,XPERF_ANNPCT,JPN,-0.948605786942882,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CQ_ISKV,MEX,0.0,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,NLG,HRV,-1459579893.56734,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,IGV,BEL,13150135851.1579,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,EXCHEB,ITA,111.318578950014,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CGAA,ROU,325496838947.307,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
